1,1,6.8838625,1.13E-03,3.37E-02
2,1.41421354,6.89349174,4.11E-04,2.03E-02
3,1.73205078,6.97724199,1.12E-03,3.34E-02
4,2,6.93892241,9.76E-04,3.12E-02
5,2.23606801,6.94987774,9.92E-05,9.96E-03
6,2.44948983,7.02637672,1.18E-03,3.44E-02
7,2.64575124,7.09029245,2.69E-04,1.64E-02
8,2.82842708,7.0966568,1.89E-03,4.35E-02
9,3,7.02708006,3.81E-04,1.95E-02
10,3.1622777,7.0377593,1.16E-03,3.40E-02
11,3.31662488,6.9446063,1.15E-03,3.39E-02
12,3.46410155,6.92909861,1.10E-03,3.31E-02
13,3.60555124,6.92207766,2.06E-03,4.54E-02
14,3.7416575,6.89896679,8.15E-04,2.86E-02
15,3.87298346,7.00550413,3.88E-04,1.97E-02
16,4,7.07473135,3.67E-04,1.92E-02
17,4.12310553,7.02696896,9.00E-04,3.00E-02
18,4.2426405,6.86337948,2.47E-03,4.97E-02
19,4.35889912,6.85277224,9.28E-04,3.05E-02
20,4.47213602,6.76937342,6.33E-04,2.52E-02
21,4.5825758,6.8003583,9.50E-04,3.08E-02
22,4.69041586,6.72757673,3.09E-04,1.76E-02
23,4.79583168,6.74103117,6.27E-04,2.50E-02
24,4.89897966,6.74855661,6.35E-04,2.52E-02
25,5,6.85354519,8.19E-04,2.86E-02
26,5.09901953,6.85885859,3.08E-04,1.76E-02
27,5.19615221,6.96669817,1.96E-04,1.40E-02
28,5.29150248,6.90151596,9.99E-04,3.16E-02
29,5.38516474,7.01032925,2.82E-03,5.31E-02
30,5.47722578,7.06021881,5.35E-04,2.31E-02
31,5.56776428,7.16575813,1.51E-03,3.88E-02
32,5.65685415,7.20272636,9.58E-04,3.10E-02
33,5.74456263,7.23321199,1.98E-04,1.41E-02
34,5.83095169,7.26785326,1.11E-03,3.33E-02
35,5.91608,7.2185297,4.90E-04,2.21E-02
36,6,7.26969528,3.55E-04,1.88E-02
37,6.08276272,7.38253212,1.84E-04,1.36E-02
38,6.16441393,7.42983341,1.26E-03,3.55E-02
